Measure,Year,Level
Adriatic Sea,2008,27.953529411764706
Adriatic Sea,2009,26.41918918918919
Adriatic Sea,2010,64.68945945945947
Adriatic Sea,2011,28.98135135135135
Adriatic Sea,2012,19.95972972972973
Adriatic Sea,2013,43.40058823529412
Adriatic Sea,2014,61.44351351351351
Adriatic Sea,2015,42.39486486486487
Adriatic Sea,2016,36.35702702702703
Adriatic Sea,2017,-27.800769230769227
Andaman Sea,2008,84.37941176470588
Andaman Sea,2009,30.193243243243245
Andaman Sea,2010,64.22297297297297
Andaman Sea,2011,37.306756756756755
Andaman Sea,2012,60.6554054054054
Andaman Sea,2013,80.21857142857144
Andaman Sea,2014,41.016666666666666
Andaman Sea,2015,41.98783783783784
Andaman Sea,2016,104.82297297297296
Andaman Sea,2017,-10.828571428571427
Arabian Sea,2008,4.197647058823529
Arabian Sea,2009,38.123243243243245
Arabian Sea,2010,36.12054054054054
Arabian Sea,2011,36.74216216216216
Arabian Sea,2012,49.06378378378379
Arabian Sea,2013,43.245714285714286
Arabian Sea,2014,47.76888888888889
Arabian Sea,2015,76.41243243243244
Arabian Sea,2016,74.91243243243244
Arabian Sea,2017,88.08714285714287
Atlantic Ocean,2008,27.143529411764707
Atlantic Ocean,2009,26.32
Atlantic Ocean,2010,27.6172972972973
Atlantic Ocean,2011,28.092972972972973
Atlantic Ocean,2012,34.306486486486484
Atlantic Ocean,2013,40.26285714285714
Atlantic Ocean,2014,38.522777777777776
Atlantic Ocean,2015,46.64432432432432
Atlantic Ocean,2016,50.41459459459459
Atlantic Ocean,2017,48.041428571428575
Baltic Sea,2008,100.31470588235294
Baltic Sea,2009,-10.452702702702705
Baltic Sea,2010,-52.612162162162164
Baltic Sea,2011,65.0418918918919
Baltic Sea,2012,88.26891891891893
Baltic Sea,2013,26.964285714285715
Baltic Sea,2014,-19.044444444444448
Baltic Sea,2015,137.39594594594593
Baltic Sea,2016,49.366216216216216
Baltic Sea,2017,61.92142857142857
Bay Bengal,2008,37.02294117647059
Bay Bengal,2009,27.234864864864868
Bay Bengal,2010,52.91864864864865
Bay Bengal,2011,50.118648648648644
Bay Bengal,2012,47.975405405405404
Bay Bengal,2013,56.99857142857143
Bay Bengal,2014,43.50333333333333
Bay Bengal,2015,65.3727027027027
Bay Bengal,2016,92.78351351351351
Bay Bengal,2017,67.69142857142857
Bering Sea,2008,20.30235294117647
Bering Sea,2009,6.336216216216216
Bering Sea,2010,1.6470270270270269
Bering Sea,2011,9.530810810810811
Bering Sea,2012,0.9686486486486482
Bering Sea,2013,13.40857142857143
Bering Sea,2014,40.68944444444444
Bering Sea,2015,58.43351351351351
Bering Sea,2016,53.31189189189189
Bering Sea,2017,31.627142857142854
Caribbean Sea,2008,42.74588235294117
Caribbean Sea,2009,-1.9518918918918915
Caribbean Sea,2010,26.14
Caribbean Sea,2011,18.66702702702703
Caribbean Sea,2012,33.637297297297295
Caribbean Sea,2013,34.49
Caribbean Sea,2014,54.88594594594595
Caribbean Sea,2015,73.22918918918919
Caribbean Sea,2016,71.56972972972973
Caribbean Sea,2017,17.861428571428572
Gulf Mexico,2008,74.06588235294117
Gulf Mexico,2009,40.16810810810811
Gulf Mexico,2010,6.56
Gulf Mexico,2011,17.662702702702703
Gulf Mexico,2012,57.895135135135135
Gulf Mexico,2013,49.379999999999995
Gulf Mexico,2014,49.38777777777778
Gulf Mexico,2015,77.79513513513514
Gulf Mexico,2016,90.4627027027027
Gulf Mexico,2017,43.03142857142858
Indian Ocean,2008,29.54941176470588
Indian Ocean,2009,28.83081081081081
Indian Ocean,2010,39.325405405405405
Indian Ocean,2011,35.855135135135136
Indian Ocean,2012,44.90378378378379
Indian Ocean,2013,42.105714285714285
Indian Ocean,2014,45.72555555555556
Indian Ocean,2015,55.88756756756757
Indian Ocean,2016,48.97675675675676
Indian Ocean,2017,51.791428571428575
Indonesian,2008,57.55058823529412
Indonesian,2009,62.869189189189186
Indonesian,2010,89.30972972972972
Indonesian,2011,90.5854054054054
Indonesian,2012,85.30432432432433
Indonesian,2013,100.30857142857144
Indonesian,2014,34.90777777777778
Indonesian,2015,-18.795675675675678
Indonesian,2016,40.13945945945946
Indonesian,2017,98.78714285714285
Mediterranean,2008,66.81235294117647
Mediterranean,2009,17.662432432432432
Mediterranean,2010,56.175945945945955
Mediterranean,2011,12.035405405405406
Mediterranean,2012,24.154324324324325
Mediterranean,2013,38.35285714285714
Mediterranean,2014,36.574444444444445
Mediterranean,2015,17.765135135135136
Mediterranean,2016,41.219189189189194
Mediterranean,2017,-25.898571428571426
Nino,2008,21.169999999999998
Nino,2009,30.032162162162162
Nino,2010,20.624054054054056
Nino,2011,25.778108108108107
Nino,2012,37.77810810810811
Nino,2013,39.004285714285714
Nino,2014,52.708888888888886
Nino,2015,76.45648648648648
Nino,2016,45.22945945945946
Nino,2017,44.769999999999996
North Atlantic,2008,55.44529411764706
