,Country,Indicator,Unit,Measure,year,Value
0,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Adriatic Sea,2002,20.19857142857143
1,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Adriatic Sea,2003,5.792702702702703
2,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Adriatic Sea,2004,13.352162162162163
3,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Adriatic Sea,2005,3.733243243243243
4,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Adriatic Sea,2006,4.80111111111111
5,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Adriatic Sea,2007,-2.6016666666666666
6,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Adriatic Sea,2008,-7.3294444444444435
7,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Adriatic Sea,2009,25.31857142857143
8,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Adriatic Sea,2010,65.32243243243242
9,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Adriatic Sea,2011,27.167777777777776
10,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Adriatic Sea,2012,19.368125
11,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Adriatic Sea,2013,27.215
12,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Andaman Sea,2002,-12.538571428571428
13,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Andaman Sea,2003,3.3738888888888883
14,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Andaman Sea,2004,8.672162162162163
15,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Andaman Sea,2005,23.453243243243243
16,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Andaman Sea,2006,-19.70388888888889
17,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Andaman Sea,2007,-4.308918918918921
18,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Andaman Sea,2008,54.30428571428572
19,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Andaman Sea,2009,35.49333333333333
20,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Andaman Sea,2010,65.36135135135135
21,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Andaman Sea,2011,37.36555555555556
22,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Andaman Sea,2012,66.81
23,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Andaman Sea,2013,64.20411764705882
24,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Arabian Sea,2002,-10.96142857142857
25,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Arabian Sea,2003,6.1008108108108114
26,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Arabian Sea,2004,1.7386486486486485
27,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Arabian Sea,2005,8.922432432432432
28,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Arabian Sea,2006,10.445555555555556
29,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Arabian Sea,2007,19.01162162162162
30,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Arabian Sea,2008,25.38142857142857
31,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Arabian Sea,2009,36.559444444444445
32,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Arabian Sea,2010,33.75756756756757
33,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Arabian Sea,2011,37.79
34,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Arabian Sea,2012,44.243125
35,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Arabian Sea,2013,86.59588235294119
36,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Atlantic Ocean,2002,4.218571428571429
37,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Atlantic Ocean,2003,14.825675675675674
38,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Atlantic Ocean,2004,14.960810810810809
39,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Atlantic Ocean,2005,21.37702702702703
40,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Atlantic Ocean,2006,19.73611111111111
41,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Atlantic Ocean,2007,19.00945945945946
42,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Atlantic Ocean,2008,20.804285714285715
43,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Atlantic Ocean,2009,27.133333333333333
44,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Atlantic Ocean,2010,28.085135135135136
45,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Atlantic Ocean,2011,27.049999999999997
46,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Atlantic Ocean,2012,36.24375
47,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Atlantic Ocean,2013,31.66176470588235
48,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Baltic Sea,2002,-5.105714285714284
49,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Baltic Sea,2003,-5.7216216216216225
50,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Baltic Sea,2004,40.013513513513516
51,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Baltic Sea,2005,45.516216216216215
52,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Baltic Sea,2006,-2.2083333333333335
53,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Baltic Sea,2007,121.17837837837838
54,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Baltic Sea,2008,56.457142857142856
55,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Baltic Sea,2009,-6.766666666666666
56,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Baltic Sea,2010,-49.16486486486486
57,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Baltic Sea,2011,68.04444444444444
58,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Baltic Sea,2012,102.85
59,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Baltic Sea,2013,-134.80588235294115
60,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bay Bengal,2002,-9.76
61,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bay Bengal,2003,3.0886486486486486
62,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bay Bengal,2004,5.721081081081081
63,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bay Bengal,2005,20.334594594594595
64,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bay Bengal,2006,0.05944444444444446
65,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bay Bengal,2007,-5.332972972972973
66,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bay Bengal,2008,37.67714285714286
67,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bay Bengal,2009,27.514285714285716
68,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bay Bengal,2010,53.075135135135135
69,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bay Bengal,2011,49.20111111111111
70,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bay Bengal,2012,40.986875
71,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bay Bengal,2013,66.77529411764706
72,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bering Sea,2002,-22.14
73,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bering Sea,2003,1.0983783783783785
74,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bering Sea,2004,-6.688108108108108
75,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bering Sea,2005,-3.907027027027026
76,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bering Sea,2006,1.2061111111111116
77,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bering Sea,2007,-5.828648648648649
78,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bering Sea,2008,-2.3114285714285714
79,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bering Sea,2009,11.245
80,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bering Sea,2010,2.1794594594594594
81,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bering Sea,2011,6.297777777777778
82,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bering Sea,2012,8.273125
83,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Bering Sea,2013,-8.185882352941176
84,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Caribbean Sea,2002,22.677142857142858
85,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Caribbean Sea,2003,46.20648648648649
86,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Caribbean Sea,2004,5.1929729729729734
87,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Caribbean Sea,2005,4.333513513513513
88,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Caribbean Sea,2006,3.0616666666666665
89,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Caribbean Sea,2007,18.30333333333333
90,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Caribbean Sea,2008,16.85611111111111
91,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Caribbean Sea,2009,-0.7244444444444444
92,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Caribbean Sea,2010,25.59777777777778
93,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Caribbean Sea,2011,15.392972972972972
94,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Caribbean Sea,2012,39.960625
95,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Caribbean Sea,2013,14.796470588235294
96,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Gulf Mexico,2002,21.36857142857143
97,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Gulf Mexico,2003,21.681081081081082
98,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Gulf Mexico,2004,14.08108108108108
99,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Gulf Mexico,2005,25.124324324324323
100,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Gulf Mexico,2006,0.5805555555555553
101,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Gulf Mexico,2007,19.645945945945947
102,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Gulf Mexico,2008,24.02
103,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Gulf Mexico,2009,46.21111111111111
104,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Gulf Mexico,2010,5.578378378378377
105,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Gulf Mexico,2011,14.547222222222224
106,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Gulf Mexico,2012,62.5125
107,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Gulf Mexico,2013,8.541176470588235
108,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indian Ocean,2002,3.6085714285714285
109,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indian Ocean,2003,6.852972972972973
110,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indian Ocean,2004,7.180000000000001
111,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indian Ocean,2005,10.452972972972972
112,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indian Ocean,2006,19.357777777777777
113,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indian Ocean,2007,23.25027027027027
114,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indian Ocean,2008,29.92
115,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indian Ocean,2009,28.302222222222223
116,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indian Ocean,2010,39.234054054054056
117,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indian Ocean,2011,36.66888888888889
118,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indian Ocean,2012,46.289375
119,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indian Ocean,2013,48.99176470588235
120,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indonesian,2002,-23.11857142857143
121,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indonesian,2003,-17.962972972972974
122,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indonesian,2004,-13.038648648648648
123,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indonesian,2005,1.4018918918918921
124,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indonesian,2006,16.63222222222222
125,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indonesian,2007,22.264054054054053
126,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indonesian,2008,89.70142857142858
127,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indonesian,2009,63.132222222222225
128,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indonesian,2010,90.16945945945946
129,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indonesian,2011,89.90722222222222
130,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indonesian,2012,66.46
131,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Indonesian,2013,135.11588235294116
132,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Mediterranean,2002,14.125714285714286
133,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Mediterranean,2003,0.477297297297298
134,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Mediterranean,2004,8.693513513513514
135,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Mediterranean,2005,4.028648648648649
136,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Mediterranean,2006,8.860555555555557
137,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Mediterranean,2007,-1.8578378378378373
138,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Mediterranean,2008,8.38
139,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Mediterranean,2009,19.302222222222223
140,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Mediterranean,2010,56.19351351351351
141,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Mediterranean,2011,14.577222222222222
142,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Mediterranean,2012,31.795625
143,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Mediterranean,2013,5.03294117647059
144,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Nino,2002,13.365714285714285
145,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Nino,2003,9.895135135135135
146,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Nino,2004,22.254594594594593
147,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Nino,2005,16.495135135135136
148,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Nino,2006,20.690555555555555
149,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Nino,2007,2.851891891891892
150,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Nino,2008,15.605714285714287
151,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Nino,2009,31.904444444444444
152,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Nino,2010,20.687027027027025
153,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Nino,2011,26.162777777777777
154,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Nino,2012,38.681875
155,World,Change in mean sea level: Sea level: Jason.1,Millimeters,Nino,2013,25.424705882352942
156,World,Change in mean sea level: Sea level: Jason.1,Millimeters,North Atlantic,2002,5.567142857142857
157,World,Change in mean sea level: Sea level: Jason.1,Millimeters,North Atlantic,2003,9.546756756756757
158,World,Change in mean sea level: Sea level: Jason.1,Millimeters,North Atlantic,2004,10.600810810810811
159,World,Change in mean sea level: Sea level: Jason.1,Millimeters,North Atlantic,2005,14.806216216216217
160,World,Change in mean sea level: Sea level: Jason.1,Millimeters,North Atlantic,2006,13.981666666666666
161,World,Change in mean sea level: Sea level: Jason.1,Millimeters,North Atlantic,2007,11.100810810810811
162,World,Change in mean sea level: Sea level: Jason.1,Millimeters,North Atlantic,2008,18.14428571428571
