,year,precip,Area
2515,1979,3.0354216,New Zealand
2516,1979,1.8992167,New Zealand
2517,1979,2.4470716,New Zealand
2518,1979,2.371907,New Zealand
2659,1979,7.5384383,New Zealand
2660,1979,5.3411107,New Zealand
2661,1979,2.9698076,New Zealand
2662,1979,2.1979833,New Zealand
2781,1979,2.038975,Australia
2782,1979,2.0250413,Australia
2783,1979,1.9940237,Australia
2784,1979,1.9791174,Australia
2785,1979,2.0717704,Australia
2786,1979,2.1273656,Australia
2787,1979,2.2496202,Australia
2788,1979,2.106939,Australia
2789,1979,2.16326,Australia
2790,1979,2.0710068,Australia
2791,1979,2.057175,Australia
2792,1979,2.075059,Australia
2793,1979,4.4221587,Australia
2794,1979,4.2280264,Australia
2795,1979,2.1001031,Australia
2796,1979,2.3940942,Australia
2803,1979,2.9349358,New Zealand
2804,1979,6.4840107,New Zealand
2805,1979,4.495811,New Zealand
2806,1979,4.0923686,New Zealand
2925,1979,1.9779664,Australia
2926,1979,1.9394041,Australia
2927,1979,1.941894,Australia
2928,1979,1.9175978,Australia
2929,1979,1.9616947,Australia
2930,1979,1.9050142,Australia
2931,1979,1.832013,Australia
2932,1979,1.824633,Australia
2933,1979,1.7832031,Australia
2934,1979,1.640714,Australia
2935,1979,1.4758406,Australia
2936,1979,2.172079,Australia
2937,1979,1.8844614,Australia
2938,1979,2.2574594,Australia
2939,1979,1.7048063,Australia
2940,1979,2.3760679,Australia
2947,1979,2.9320734,New Zealand
2948,1979,2.4870243,New Zealand
2949,1979,5.24593,New Zealand
2950,1979,4.9231706,New Zealand
3069,1979,1.4684796,Australia
3070,1979,2.6399095,Australia
3071,1979,2.9413164,Australia
3072,1979,1.5037395,Australia
3073,1979,1.6316925,Australia
3074,1979,1.5871706,Australia
3075,1979,1.5315436,Australia
3076,1979,1.4673895,Australia
3077,1979,1.3329654,Australia
3078,1979,2.0306368,Australia
3079,1979,1.7246495,Australia
3080,1979,1.5913266,Australia
3081,1979,1.3664702,Australia
3082,1979,1.7048464,Australia
3083,1979,1.5876051,Australia
3084,1979,2.1594245,Australia
3091,1979,2.9240294,New Zealand
3092,1979,2.556056,New Zealand
3093,1979,5.282519,New Zealand
3094,1979,4.4729886,New Zealand
3175,1979,1.3512744,South Africa
3176,1979,0.927383,South Africa
3177,1979,1.2165581,South Africa
3178,1979,2.1602085,South Africa
3179,1979,2.5761693,South Africa
3180,1979,2.6285608,South Africa
3213,1979,1.7852339,Australia
3214,1979,1.9800004,Australia
3215,1979,1.1431147,Australia
3216,1979,1.3076756,Australia
3217,1979,1.1380063,Australia
3218,1979,0.9141133,Australia
3219,1979,1.4775914,Australia
3220,1979,1.3421979,Australia
3221,1979,1.4503709,Australia
3222,1979,1.4453096,Australia
3223,1979,1.2744589,Australia
3224,1979,0.8853361,Australia
3225,1979,0.8113088,Australia
3226,1979,0.7891708,Australia
3227,1979,1.0808918,Australia
3228,1979,1.6555643,Australia
3319,1979,0.43221894,South Africa
3320,1979,0.38227865,South Africa
3321,1979,0.8154914,South Africa
3322,1979,1.5338191,South Africa
3323,1979,2.298857,South Africa
3324,1979,2.2991397,South Africa
3357,1979,0.9923403,Australia
3358,1979,1.200939,Australia
3359,1979,0.6976833,Australia
3360,1979,0.71188575,Australia
3361,1979,0.64384496,Australia
3362,1979,0.5207332,Australia
3363,1979,0.6491384,Australia
3364,1979,0.7922544,Australia
3365,1979,1.0245179,Australia
3366,1979,0.95687574,Australia
3367,1979,0.9451608,Australia
3368,1979,0.786633,Australia
3369,1979,0.62910694,Australia
3370,1979,0.718257,Australia
3371,1979,1.103305,Australia
3372,1979,1.9099299,Australia
3461,1979,0.2887964,Namibia
3462,1979,0.15943943,Namibia
3463,1979,0.26989505,Namibia
3464,1979,0.41978034,Namibia
3465,1979,1.0012392,Namibia
3466,1979,1.4532822,South Africa
3467,1979,2.2386017,Lesotho
3468,1979,2.0723197,South Africa
3501,1979,0.90080833,Australia
3502,1979,0.47170246,Australia
3503,1979,0.45683765,Australia
3504,1979,0.64809734,Australia
3505,1979,0.5715732,Australia
3506,1979,0.5729277,Australia
3507,1979,0.73027235,Australia
3508,1979,0.9113768,Australia
3509,1979,0.9860327,Australia
3510,1979,0.8077213,Australia
3511,1979,0.6563334,Australia
3512,1979,0.9577572,Australia
3513,1979,0.5429502,Australia
3514,1979,0.57632846,Australia
3515,1979,1.0019587,Australia
3516,1979,1.6605028,Australia
3605,1979,0.2973185,Namibia
3606,1979,0.45108724,Namibia
3607,1979,0.51826674,Namibia
3608,1979,0.7887377,Botswana
3609,1979,1.0611595,Botswana
3610,1979,1.6822528,Botswana
3611,1979,1.8586799,Botswana
3612,1979,1.8828115,Eswatini
3613,1979,1.9748753,Mozambique
3614,1979,1.5676738,Mozambique
3615,1979,1.465566,Mozambique
3645,1979,0.431919,Australia
3646,1979,0.25130293,Australia
3647,1979,0.34669974,Australia
3648,1979,0.55902666,Australia
3649,1979,0.50753325,Australia
3650,1979,0.5759887,Australia
3651,1979,0.7189903,Australia
3652,1979,0.975107,Australia
3653,1979,0.91858464,Australia
3654,1979,0.8696215,Australia
3655,1979,0.75015646,Australia
3656,1979,0.841811,Australia
3657,1979,0.7298875,Australia
3658,1979,0.9087517,Australia
3659,1979,1.3007274,Australia
3660,1979,1.7499954,Australia
3749,1979,0.12715575,Namibia
3750,1979,0.67519194,Namibia
3751,1979,0.9760899,Namibia
3752,1979,0.746527,Botswana
3753,1979,0.9362007,Botswana
3754,1979,1.2004675,Botswana
3755,1979,1.2565596,Botswana
3756,1979,1.6060737,Mozambique
3757,1979,1.6801934,Mozambique
3758,1979,1.9329624,Mozambique
3759,1979,1.0559335,Mozambique
3761,1979,1.4145756,Madagascar
3762,1979,4.33201,Madagascar
3763,1979,4.9646254,Madagascar
3789,1979,0.3953179,Australia
3790,1979,0.5115698,Australia
3791,1979,0.76070833,Australia
3792,1979,0.7011424,Australia
3793,1979,0.5193132,Australia
3794,1979,0.64573914,Australia
3795,1979,0.7582509,Australia
3796,1979,1.0449232,Australia
3797,1979,0.9495104,Australia
3798,1979,0.9994817,Australia
3799,1979,0.63333905,Australia
3800,1979,0.78320366,Australia
3801,1979,0.96279126,Australia
3802,1979,0.99112844,Australia
3803,1979,1.2926216,Australia
3804,1979,1.7483567,Australia
3893,1979,0.34409627,Namibia
3894,1979,1.1049911,Namibia
3895,1979,1.3142818,Namibia
3896,1979,0.99966973,Botswana
3897,1979,0.7789238,Botswana
3898,1979,0.9343846,Botswana
3899,1979,1.2532233,Botswana
3900,1979,1.5697422,Mozambique
3901,1979,1.8861343,Mozambique
3902,1979,1.5585715,Mozambique
3903,1979,0.9341313,Mozambique
3905,1979,1.9716271,Madagascar
3906,1979,3.9660504,Madagascar
3907,1979,5.9896445,Madagascar
3933,1979,0.5296398,Australia
3934,1979,0.68203974,Australia
3935,1979,0.86084694,Australia
3936,1979,0.64880717,Australia
3937,1979,0.77120906,Australia
3938,1979,0.87127477,Australia
3939,1979,1.0410839,Australia
3940,1979,1.1001455,Australia
3941,1979,1.122204,Australia
3942,1979,0.865623,Australia
3943,1979,1.1600813,Australia
3944,1979,1.4847941,Australia
3945,1979,1.3828007,Australia
3946,1979,1.4837828,Australia
3947,1979,3.690074,Australia
3948,1979,2.6502426,Australia
3953,1979,2.9239502,New Caledonia
3954,1979,4.002902,New Caledonia
4037,1979,0.7604704,Namibia
4038,1979,1.5461582,Namibia
4039,1979,1.4315044,Namibia
4040,1979,1.1372545,Botswana
4041,1979,1.2992448,Botswana
4042,1979,1.55124,Botswana
4043,1979,1.8098861,Botswana
4044,1979,1.7721329,Mozambique
4045,1979,2.7124164,Mozambique
4046,1979,3.2149794,Mozambique
4047,1979,3.244788,Mozambique
4049,1979,2.647222,Madagascar
4050,1979,4.3951125,Madagascar
4051,1979,5.8673,Madagascar
4077,1979,0.62488097,Australia
4078,1979,0.6945496,Australia
4079,1979,0.6767723,Australia
4080,1979,1.0427829,Australia
4081,1979,1.4586234,Australia
4082,1979,1.3398412,Australia
4083,1979,1.2840716,Australia
4084,1979,1.476504,Australia
4085,1979,1.335131,Australia
4086,1979,1.251774,Australia
4087,1979,2.1961744,Australia
4088,1979,2.8193686,Australia
4089,1979,2.88712,Australia
4090,1979,3.8787851,Australia
4091,1979,3.6486523,Australia
4092,1979,2.4485657,Australia
4099,1979,5.711122,Vanuatu
4181,1979,1.8060541,Angola
4182,1979,2.0918796,Angola
4183,1979,2.45762,Angola
4184,1979,2.407623,Angola
4185,1979,2.0863895,Angola
4186,1979,2.253784,Zambia
4187,1979,2.1269665,Zambia
4188,1979,1.885347,Mozambique
4189,1979,1.9092956,Malawi
4190,1979,3.6709893,Mozambique
4191,1979,3.565327,Mozambique
4193,1979,2.7047565,Madagascar
4194,1979,4.7384157,Madagascar
4195,1979,6.298515,Madagascar
4221,1979,0.9190262,Australia
4222,1979,0.99478936,Australia
4223,1979,1.01848,Australia
4224,1979,1.3361057,Australia
4225,1979,2.2193024,Australia
4226,1979,2.6587484,Australia
4227,1979,2.004017,Australia
4228,1979,2.0176878,Australia
4229,1979,1.7671121,Australia
4230,1979,2.182155,Australia
4231,1979,3.4026453,Australia
4232,1979,3.7361834,Australia
4233,1979,4.255499,Australia
4234,1979,7.723266,Australia
4235,1979,2.7534478,Australia
4236,1979,3.193595,Australia
4243,1979,4.7718763,Vanuatu
4325,1979,2.562894,Angola
4326,1979,3.4612968,Angola
4327,1979,3.2780418,Angola
4328,1979,3.3596058,Angola
4329,1979,3.1364396,Angola
4330,1979,3.2720404,Zambia
4331,1979,3.112881,Zambia
4332,1979,2.6312196,Mozambique
4333,1979,2.88009,Malawi
4334,1979,3.447215,Mozambique
4335,1979,3.4259446,Mozambique
4337,1979,1.4800072,Madagascar
4338,1979,3.7787418,Madagascar
4339,1979,3.8458378,Madagascar
4365,1979,1.2858201,Australia
4366,1979,1.1995138,Australia
4367,1979,1.0008298,Australia
4368,1979,0.9900891,Australia
4369,1979,1.9229279,Australia
4370,1979,2.4768782,Australia
4371,1979,2.9651573,Australia
4372,1979,3.0953045,Australia
4373,1979,2.4373376,Australia
4374,1979,2.615496,Australia
4375,1979,2.0829947,Australia
4376,1979,4.19625,Australia
4377,1979,4.231713,Australia
